Code INSEE région;Région;Nature;Date;Heure;Date - Heure;Consommation (MW);Thermique (MW);Nucléaire (MW);Eolien (MW);Solaire (MW);Hydraulique (MW);Pompage (MW);Bioénergies (MW);Ech. physiques (MW);Stockage batterie;Déstockage batterie;TCO Thermique (%);TCH Thermique (%);TCO Nucléaire (%);TCH Nucléaire (%);TCO Eolien (%);TCH Eolien (%);TCO Solaire (%);TCH Solaire (%);TCO Hydraulique (%);TCH Hydraulique (%);TCO Bioénergies (%);TCH Bioénergies (%);Column 68
28;Normandie;Données temps réel;2023-02-23;02:30;2023-02-23T02:30:00+01:00;3485;440;3920;77;0;14;-;38;-1004;-;-;12.63;53.08;112.48;36.84;2.21;8.38;0.0;0.0;0.4;46.67;1.09;25.5;
28;Normandie;Données temps réel;2023-03-03;22:00;2023-03-03T22:00:00+01:00;3828;418;3163;240;0;14;-;38;-45;-;-;10.92;50.42;82.63;29.73;6.27;26.12;0.0;0.0;0.37;46.67;0.99;25.5;
28;Normandie;Données temps réel;2023-03-04;07:30;2023-03-04T07:30:00+01:00;3790;419;3684;132;2;14;-;39;-501;-;-;11.06;50.54;97.2;34.62;3.48;14.36;0.05;0.79;0.37;46.67;1.03;26.17;
28;Normandie;Données temps réel;2023-03-07;13:30;2023-03-07T13:30:00+01:00;3827;420;3581;581;73;14;-;38;-880;-;-;10.97;50.66;93.57;33.66;15.18;63.22;1.91;28.74;0.37;46.67;0.99;25.5;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2023-05-18;11:00;2023-05-18T11:00:00+02:00;3904;356;0;8;654;532;0;105;2248;-;-;9.12;13.1;0.0;;0.2;8.33;16.75;33.49;13.63;16.3;2.69;35.35;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2023-05-22;16:00;2023-05-22T16:00:00+02:00;4097;89;0;1;888;630;-49;108;2431;-;-;2.17;3.28;0.0;;0.02;1.04;21.67;45.47;15.38;19.3;2.64;36.36;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2023-05-23;11:45;2023-05-23T11:45:00+02:00;4013;104;0;3;1363;754;0;103;1686;-;-;2.59;3.83;0.0;;0.07;3.13;33.96;69.79;18.79;23.1;2.57;34.68;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2023-07-07;04:15;2023-07-07T04:15:00+02:00;3346;606;0;19;0;714;0;88;1919;-;-;18.11;22.3;0.0;;0.57;19.79;0.0;0.0;21.34;21.88;2.63;29.63;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2023-07-08;04:45;2023-07-08T04:45:00+02:00;3365;102;0;39;0;524;0;87;2614;-;-;3.03;3.75;0.0;;1.16;40.63;0.0;0.0;15.57;16.05;2.59;29.29;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2023-07-08;10:30;2023-07-08T10:30:00+02:00;4524;103;0;33;1171;548;0;86;2583;-;-;2.28;3.79;0.0;;0.73;34.38;25.88;59.96;12.11;16.79;1.9;28.96;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2023-07-14;07:15;2023-07-14T07:15:00+02:00;3444;1132;0;5;122;706;0;90;1389;-;-;32.87;41.66;0.0;;0.15;5.21;3.54;6.25;20.5;21.63;2.61;30.3;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2023-08-01;11:45;2023-08-01T11:45:00+02:00;4548;262;0;39;1130;870;0;218;2030;0;0;5.76;9.64;0.0;;0.86;40.63;24.85;57.86;19.13;26.65;4.79;73.4;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2023-08-04;19:45;2023-08-04T19:45:00+02:00;4153;818;0;72;193;1110;0;99;1862;-0;0;19.7;30.11;0.0;;1.73;75.0;4.65;9.88;26.73;34.01;2.38;33.33;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2023-08-05;13:00;2023-08-05T13:00:00+02:00;4314;71;0;66;1701;316;0;116;2043;-0;0;1.65;2.61;0.0;;1.53;68.75;39.43;87.1;7.32;9.68;2.69;39.06;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2023-08-19;14:45;2023-08-19T14:45:00+02:00;4863;71;0;1;1485;331;0;68;2907;-0;0;1.46;2.61;0.0;;0.02;1.04;30.54;76.04;6.81;10.14;1.4;22.9;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2023-08-28;10:15;2023-08-28T10:15:00+02:00;4134;730;0;68;336;652;0;72;2276;0;0;17.66;26.87;0.0;;1.64;70.83;8.13;17.2;15.77;19.98;1.74;24.24;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2023-09-16;00:15;2023-09-16T00:15:00+02:00;3739;422;0;65;0;1129;0;228;1896;-1;0;11.29;15.53;0.0;;1.74;67.71;0.0;0.0;30.2;34.59;6.1;76.77;
93;Provence-Alpes-Côte d'Azur;Données temps réel;2023-09-20;12:00;2023-09-20T12:00:00+02:00;4368;70;0;20;514;622;0;74;3068;-0;0;1.6;2.58;0.0;;0.46;20.83;11.77;26.32;14.24;19.06;1.69;24.92;
